id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_1015,"VESTIDO BLANCO/AZUL $399","VESTIDO BLANCO/AZUL $399 
 
Talla: M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-3.png,https://georginasj.com/tienda/producto/vestido-blanco-azul-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",650MXN,in stock,wc_post_id_1015,https://georginasj.com/tienda/carrito/?add-to-cart=1015,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1013,"VESTIDO RAYAS $399","VESTIDO RAYAS $399 
 
Talla: M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-2.png,https://georginasj.com/tienda/producto/vestido-rayas-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",550MXN,in stock,wc_post_id_1013,https://georginasj.com/tienda/carrito/?add-to-cart=1013,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_1012,"VESTIDO ROSA $399","VESTIDO ROSA $399 
 
Talla: M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy-1.png,https://georginasj.com/tienda/producto/vestido-rosa-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",650MXN,in stock,wc_post_id_1012,https://georginasj.com/tienda/carrito/?add-to-cart=1012,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_1010,"VESTIDO BLANCO/NEGRO $399","VESTIDO BLANCO/NEGRO $399 
 
Talla: M",https://georginasj.com/tienda/wp-content/uploads/2020/07/hoy.png,https://georginasj.com/tienda/producto/vestido-blanco-negro-399/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",650MXN,in stock,wc_post_id_1010,https://georginasj.com/tienda/carrito/?add-to-cart=1010,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,399MXN,new,published,,
wc_post_id_992,"VESTIDO BLANCO ENCAJE $350","VESTIDO BLANCO ENCAJE $350 
 
Talla: S",https://georginasj.com/tienda/wp-content/uploads/2020/07/mono.png,https://georginasj.com/tienda/producto/vestido-blanco-encaje-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",450MXN,in stock,wc_post_id_992,https://georginasj.com/tienda/carrito/?add-to-cart=992,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_991,"VESTIDO ESTAMPADO $350","VESTIDO ESTAMPADO $350 
 
Talla: S",https://georginasj.com/tienda/wp-content/uploads/2020/07/mono-1.png,https://georginasj.com/tienda/producto/vestido-estampado-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",550MXN,in stock,wc_post_id_991,https://georginasj.com/tienda/carrito/?add-to-cart=991,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_990,"VESTIDO ROSA $350","VESTIDO ROSA $350 
 
Modelo: salepink00 
 
Talla: S-M 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/mono-2.png,https://georginasj.com/tienda/producto/vestido-rosa-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",500MXN,in stock,wc_post_id_990,https://georginasj.com/tienda/carrito/?add-to-cart=990,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_989,"VESTIDO MOSTAZA NEW43 $350","VESTIDO MOSTAZA NEW43 $350 
 
Modelo: mostazanew43 
 
Talla: S 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/mono-3.png,https://georginasj.com/tienda/producto/vestido-mostaza-new43-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",550MXN,in stock,wc_post_id_989,https://georginasj.com/tienda/carrito/?add-to-cart=989,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_988,"VESTIDO LILA FLORES $350","VESTIDO LILA FLORES $350 
 
Modelo: Lilaflowers298 
 
Talla: S-M 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/mono-4.png,https://georginasj.com/tienda/producto/vestido-lila-flores-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",450MXN,in stock,wc_post_id_988,https://georginasj.com/tienda/carrito/?add-to-cart=988,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_987,"VESTIDO PINK $350","VESTIDO PINK $350 
 
Modelo: Slepink9 
 
Talla: M 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/mono-5.png,https://georginasj.com/tienda/producto/vestido-pink-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",450MXN,in stock,wc_post_id_987,https://georginasj.com/tienda/carrito/?add-to-cart=987,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
